,disc_diameter,cup_diameter,disc_area,cup_area
12,0.185385,0.08235500000000001,0.026992248526296402,0.005326842111560985
13,0.111655,0.048409999999999995,0.009791432473606636,0.001840602665610311
14,0.16197,0.07109,0.02060435603691276,0.003969235891939879
15,0.111655,0.048409999999999995,0.009791432473606636,0.001840602665610311
16,0.17842,0.08249500000000001,0.02500212668671196,0.005344968315774036
17,0.158885,0.080905,0.019826939344906157,0.005140917160534397
18,0.148025,0.060340000000000005,0.017209173808340698,0.0028595684253251187
19,0.145675,0.06483,0.016667095922954598,0.0033009726389500575
20,0.14781,0.067545,0.017159218931221933,0.0035832432662535434
21,0.152365,0.058065000000000005,0.018233091582015543,0.0026480046421282735
22,0.18238,0.056010000000000004,0.026124278449833005,0.0024638883648972197
23,0.178645,0.07844999999999999,0.025065225280635,0.004833656420308663
24,0.168385,0.057685,0.022268793285789443,0.002613458903911236
25,0.178645,0.07844999999999999,0.025065225280635,0.004833656420308663
26,0.168385,0.057685,0.022268793285789443,0.002613458903911236
27,0.207185,0.084555,0.033713706429004016,0.005615241887956854
28,0.16124,0.06415,0.02041904660242682,0.0032320881934718554
29,0.13003,0.05351500000000001,0.013279355773949725,0.0022492666339511865
30,0.16386,0.05645,0.021088018912878564,0.002502751750977717
31,0.206755,0.084865,0.033573910111228615,0.00565649115657812
32,0.169935,0.056014999999999995,0.022680652941082412,0.002464328286043492
33,0.206755,0.084865,0.033573910111228615,0.00565649115657812
34,0.166765,0.055395,0.021842366850759944,0.002410077536225344
35,0.18234499999999998,0.077975,0.026114252547752924,0.004775299864146678
36,0.17102,0.07077,0.02297120013350169,0.00393358258523282
37,0.16616,0.07229,0.021684172247212738,0.00410436835834139
38,0.17021999999999998,0.07275000000000001,0.022756792718079486,0.0041567688671662086
39,0.153675,0.056775,0.01854796744465881,0.002531652930769187
40,0.20681,0.059625000000000004,0.03359177483675812,0.002792200917494657
41,0.180765,0.083165,0.025663658782917157,0.005432141385805477
42,0.177505,0.07186000000000001,0.024746344986915837,0.0040556858458822825
43,0.174625,0.07436000000000001,0.023949845691717667,0.004342788144512221
44,0.202785,0.07841000000000001,0.032296951814792585,0.004828728518072244
45,0.16564,0.07395499999999999,0.0215486627896928,0.00429561118142748
46,0.164425,0.08131,0.021233695369258634,0.005192515522579979
47,0.16173500000000002,0.07112,0.020544610268479358,0.0039725866361243825
48,0.13398500000000002,0.064385,0.014099452298062313,0.003255811714410944
49,0.179425,0.08008,0.025284582746521827,0.005036606368783401
50,0.172115,0.076715,0.023266300004184823,0.0046222183793577796
51,0.17213499999999998,0.07272999999999999,0.02327170747053981,0.004154483672669985
52,0.16375499999999998,0.074735,0.021061001549851903,0.004386700246701622
53,0.17213499999999998,0.07272999999999999,0.02327170747053981,0.004154483672669985
54,0.172355,0.07889499999999999,0.023331231069467752,0.004888648841247461
55,0.183685,0.06888999999999999,0.026499474796015735,0.003727367815132654
56,0.16619,0.067385,0.021692003059600895,0.0035662874623835893
57,0.183685,0.06888999999999999,0.026499474796015735,0.003727367815132654
58,0.16934,0.064695,0.022522105693759842,0.00328723926483966
59,0.169695,0.065985,0.022616634194306096,0.003419639488110345
60,0.16619,0.067385,0.021692003059600895,0.0035662874623835893
61,0.169695,0.065985,0.022616634194306096,0.003419639488110345
62,0.16934,0.064695,0.022522105693759842,0.00328723926483966
63,0.16619,0.067385,0.021692003059600895,0.0035662874623835893
64,0.16934,0.064695,0.022522105693759842,0.00328723926483966
65,0.19742500000000002,0.082805,0.030612174108295743,0.00538521447386101
66,0.187975,0.076845,0.027751730435257332,0.0046378971258140495
67,0.17099999999999999,0.06820999999999999,0.022965827695904783,0.003654146715155437
68,0.17910500000000001,0.07467,0.025194474329394506,0.004379072989882467
69,0.17658000000000001,0.08074,0.024489104606380752,0.005119969472324204
70,0.18019,0.08157500000000001,0.025500650081327406,0.005226416861238905
71,0.17658000000000001,0.08074,0.024489104606380752,0.005119969472324204
72,0.17932,0.07932,0.025254998191788385,0.0049414600936767816
73,0.18019,0.08157500000000001,0.025500650081327406,0.005226416861238905
74,0.17932,0.07932,0.025254998191788385,0.0049414600936767816
75,0.19337500000000002,0.07903,0.029369093019160068,0.004905393431916326
76,0.18371,0.07625499999999999,0.02650668857997178,0.0045669528951125206
77,0.19337500000000002,0.07903,0.029369093019160068,0.004905393431916326
78,0.17964,0.0726,0.025345214679702993,0.004139645223708734
79,0.18371,0.07625499999999999,0.02650668857997178,0.0045669528951125206
80,0.17964,0.0726,0.025345214679702993,0.004139645223708734
81,0.15549000000000002,0.06622499999999999,0.018988681430742803,0.00344456048599421
82,0.15371,0.06457500000000001,0.01855641713116477,0.0032750558543697744
83,0.16165000000000002,0.071925,0.02052302145974838,0.004063026196752349
84,0.160825,0.07639499999999999,0.020314072659736563,0.004583737639262487
85,0.16165000000000002,0.071925,0.02052302145974838,0.004063026196752349
86,0.142955,0.07102,0.016050500559382775,0.003961422986629851
87,0.160825,0.07639499999999999,0.020314072659736563,0.004583737639262487
88,0.142955,0.07102,0.016050500559382775,0.003961422986629851
89,0.16336499999999998,0.068035,0.02096080296543978,0.0036354205649203226
90,0.159455,0.06794,0.019969452826167647,0.0036252750859698656
91,0.166385,0.069345,0.02174293779946832,0.003776766944511003
92,0.167135,0.071645,0.021939397296060554,0.004031453504743036
93,0.166385,0.069345,0.02174293779946832,0.003776766944511003
94,0.171025,0.07109499999999999,0.022972543341075687,0.0039697942511291925
95,0.167135,0.071645,0.021939397296060554,0.004031453504743036
96,0.171025,0.07109,0.022972543341075687,0.003969235891939879
97,0.16632000000000002,0.07227,0.02172595291623137,0.004102097615171376
98,0.16347,0.076015,0.020987756004356855,0.0045382506763107944
99,0.154345,0.06229,0.018710052733992896,0.003047379510041105
100,0.16632000000000002,0.07227,0.02172595291623137,0.004102097615171376
101,0.154345,0.06229,0.018710052733992896,0.003047379510041105
102,0.16347,0.076015,0.020987756004356855,0.0045382506763107944
